,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,engine-type,num-of-cylinders,fuel-system
0,alfa-romero,gas,std,two,convertible,rwd,front,dohc,four,mpfi
1,alfa-romero,gas,std,two,convertible,rwd,front,dohc,four,mpfi
2,alfa-romero,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi
3,audi,gas,std,four,sedan,fwd,front,ohc,four,mpfi
4,audi,gas,std,four,sedan,4wd,front,ohc,five,mpfi
5,audi,gas,std,two,sedan,fwd,front,ohc,five,mpfi
6,audi,gas,std,four,sedan,fwd,front,ohc,five,mpfi
7,audi,gas,std,four,wagon,fwd,front,ohc,five,mpfi
8,audi,gas,turbo,four,sedan,fwd,front,ohc,five,mpfi
9,bmw,gas,std,two,sedan,rwd,front,ohc,four,mpfi
10,bmw,gas,std,four,sedan,rwd,front,ohc,four,mpfi
11,bmw,gas,std,two,sedan,rwd,front,ohc,six,mpfi
12,bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi
13,bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi
14,bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi
15,bmw,gas,std,two,sedan,rwd,front,ohc,six,mpfi
16,bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi
17,chevrolet,gas,std,two,hatchback,fwd,front,l,three,2bbl
18,chevrolet,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
19,chevrolet,gas,std,four,sedan,fwd,front,ohc,four,2bbl
20,dodge,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
21,dodge,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
22,dodge,gas,turbo,two,hatchback,fwd,front,ohc,four,mpfi
23,dodge,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
24,dodge,gas,std,four,sedan,fwd,front,ohc,four,2bbl
25,dodge,gas,std,four,sedan,fwd,front,ohc,four,2bbl
26,dodge,gas,turbo,,sedan,fwd,front,ohc,four,mpfi
27,dodge,gas,std,four,wagon,fwd,front,ohc,four,2bbl
28,dodge,gas,turbo,two,hatchback,fwd,front,ohc,four,mfi
29,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
30,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
31,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
32,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
33,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
34,honda,gas,std,four,sedan,fwd,front,ohc,four,1bbl
35,honda,gas,std,four,wagon,fwd,front,ohc,four,1bbl
36,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
37,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
38,honda,gas,std,four,sedan,fwd,front,ohc,four,1bbl
39,honda,gas,std,four,sedan,fwd,front,ohc,four,1bbl
40,honda,gas,std,four,sedan,fwd,front,ohc,four,mpfi
41,honda,gas,std,two,sedan,fwd,front,ohc,four,2bbl
42,isuzu,gas,std,four,sedan,rwd,front,ohc,four,2bbl
43,isuzu,gas,std,two,hatchback,rwd,front,ohc,four,spfi
44,jaguar,gas,std,four,sedan,rwd,front,dohc,six,mpfi
45,jaguar,gas,std,four,sedan,rwd,front,dohc,six,mpfi
46,jaguar,gas,std,two,sedan,rwd,front,ohcv,twelve,mpfi
47,mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
48,mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
49,mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
50,mazda,gas,std,four,sedan,fwd,front,ohc,four,2bbl
51,mazda,gas,std,four,sedan,fwd,front,ohc,four,2bbl
52,mazda,gas,std,two,hatchback,rwd,front,rotor,two,4bbl
53,mazda,gas,std,two,hatchback,rwd,front,rotor,two,4bbl
54,mazda,gas,std,two,hatchback,rwd,front,rotor,two,4bbl
55,mazda,gas,std,two,hatchback,rwd,front,rotor,two,mpfi
56,mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
57,mazda,gas,std,four,sedan,fwd,front,ohc,four,2bbl
58,mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
59,mazda,gas,std,four,sedan,fwd,front,ohc,four,2bbl
60,mazda,diesel,std,,sedan,fwd,front,ohc,four,idi
61,mazda,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
62,mazda,gas,std,four,sedan,rwd,front,ohc,four,mpfi
63,mazda,diesel,std,four,sedan,rwd,front,ohc,four,idi
64,mercedes-benz,diesel,turbo,four,sedan,rwd,front,ohc,five,idi
65,mercedes-benz,diesel,turbo,four,wagon,rwd,front,ohc,five,idi
66,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,ohc,five,idi
67,mercedes-benz,diesel,turbo,four,sedan,rwd,front,ohc,five,idi
68,mercedes-benz,gas,std,four,sedan,rwd,front,ohcv,eight,mpfi
69,mercedes-benz,gas,std,two,convertible,rwd,front,ohcv,eight,mpfi
70,mercedes-benz,gas,std,four,sedan,rwd,front,ohcv,eight,mpfi
71,mercedes-benz,gas,std,two,hardtop,rwd,front,ohcv,eight,mpfi
72,mercury,gas,turbo,two,hatchback,rwd,front,ohc,four,mpfi
73,mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
74,mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
75,mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
76,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi
77,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi
78,mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
79,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi
80,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi
81,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi
82,mitsubishi,gas,std,four,sedan,fwd,front,ohc,four,2bbl
83,mitsubishi,gas,std,four,sedan,fwd,front,ohc,four,2bbl
84,mitsubishi,gas,turbo,four,sedan,fwd,front,ohc,four,spdi
85,mitsubishi,gas,std,four,sedan,fwd,front,ohc,four,spdi
86,nissan,gas,std,two,sedan,fwd,front,ohc,four,2bbl
87,nissan,diesel,std,two,sedan,fwd,front,ohc,four,idi
88,nissan,gas,std,two,sedan,fwd,front,ohc,four,2bbl
89,nissan,gas,std,four,sedan,fwd,front,ohc,four,2bbl
90,nissan,gas,std,four,wagon,fwd,front,ohc,four,2bbl
91,nissan,gas,std,two,sedan,fwd,front,ohc,four,2bbl
92,nissan,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
93,nissan,gas,std,four,sedan,fwd,front,ohc,four,2bbl
94,nissan,gas,std,four,wagon,fwd,front,ohc,four,2bbl
95,nissan,gas,std,two,hardtop,fwd,front,ohc,four,2bbl
96,nissan,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
97,nissan,gas,std,four,sedan,fwd,front,ohc,four,2bbl
98,nissan,gas,std,four,sedan,fwd,front,ohcv,six,mpfi
99,nissan,gas,std,four,wagon,fwd,front,ohcv,six,mpfi
100,nissan,gas,std,four,sedan,fwd,front,ohcv,six,mpfi
101,nissan,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi
102,nissan,gas,turbo,two,hatchback,rwd,front,ohcv,six,mpfi
103,nissan,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi
104,peugot,gas,std,four,sedan,rwd,front,l,four,mpfi
105,peugot,diesel,turbo,four,sedan,rwd,front,l,four,idi
106,peugot,gas,std,four,wagon,rwd,front,l,four,mpfi
107,peugot,diesel,turbo,four,wagon,rwd,front,l,four,idi
108,peugot,gas,std,four,sedan,rwd,front,l,four,mpfi
109,peugot,diesel,turbo,four,sedan,rwd,front,l,four,idi
110,peugot,gas,std,four,wagon,rwd,front,l,four,mpfi
111,peugot,diesel,turbo,four,wagon,rwd,front,l,four,idi
112,peugot,gas,std,four,sedan,rwd,front,l,four,mpfi
113,peugot,diesel,turbo,four,sedan,rwd,front,l,four,idi
114,peugot,gas,turbo,four,sedan,rwd,front,l,four,mpfi
115,plymouth,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
116,plymouth,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi
117,plymouth,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
118,plymouth,gas,std,four,sedan,fwd,front,ohc,four,2bbl
119,plymouth,gas,std,four,sedan,fwd,front,ohc,four,2bbl
120,plymouth,gas,std,four,wagon,fwd,front,ohc,four,2bbl
121,plymouth,gas,turbo,two,hatchback,rwd,front,ohc,four,spdi
122,porsche,gas,std,two,hatchback,rwd,front,ohc,four,mpfi
123,porsche,gas,std,two,hardtop,rwd,rear,ohcf,six,mpfi
124,porsche,gas,std,two,hardtop,rwd,rear,ohcf,six,mpfi
125,porsche,gas,std,two,convertible,rwd,rear,ohcf,six,mpfi
126,renault,gas,std,four,wagon,fwd,front,ohc,four,mpfi
127,renault,gas,std,two,hatchback,fwd,front,ohc,four,mpfi
128,saab,gas,std,two,hatchback,fwd,front,ohc,four,mpfi
129,saab,gas,std,four,sedan,fwd,front,ohc,four,mpfi
130,saab,gas,std,two,hatchback,fwd,front,ohc,four,mpfi
131,saab,gas,std,four,sedan,fwd,front,ohc,four,mpfi
132,saab,gas,turbo,two,hatchback,fwd,front,dohc,four,mpfi
133,saab,gas,turbo,four,sedan,fwd,front,dohc,four,mpfi
134,subaru,gas,std,two,hatchback,fwd,front,ohcf,four,2bbl
135,subaru,gas,std,two,hatchback,fwd,front,ohcf,four,2bbl
136,subaru,gas,std,two,hatchback,4wd,front,ohcf,four,2bbl
137,subaru,gas,std,four,sedan,fwd,front,ohcf,four,2bbl
138,subaru,gas,std,four,sedan,fwd,front,ohcf,four,2bbl
139,subaru,gas,std,four,sedan,fwd,front,ohcf,four,mpfi
140,subaru,gas,std,four,sedan,4wd,front,ohcf,four,2bbl
141,subaru,gas,turbo,four,sedan,4wd,front,ohcf,four,mpfi
142,subaru,gas,std,four,wagon,fwd,front,ohcf,four,2bbl
143,subaru,gas,std,four,wagon,fwd,front,ohcf,four,mpfi
144,subaru,gas,std,four,wagon,4wd,front,ohcf,four,2bbl
145,subaru,gas,turbo,four,wagon,4wd,front,ohcf,four,mpfi
146,toyota,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
147,toyota,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
148,toyota,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
149,toyota,gas,std,four,wagon,fwd,front,ohc,four,2bbl
150,toyota,gas,std,four,wagon,4wd,front,ohc,four,2bbl
151,toyota,gas,std,four,wagon,4wd,front,ohc,four,2bbl
152,toyota,gas,std,four,sedan,fwd,front,ohc,four,2bbl
153,toyota,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
154,toyota,diesel,std,four,sedan,fwd,front,ohc,four,idi
155,toyota,diesel,std,four,hatchback,fwd,front,ohc,four,idi
156,toyota,gas,std,four,sedan,fwd,front,ohc,four,2bbl
157,toyota,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
158,toyota,gas,std,four,sedan,fwd,front,ohc,four,2bbl
159,toyota,gas,std,two,sedan,rwd,front,ohc,four,2bbl
160,toyota,gas,std,two,hatchback,rwd,front,ohc,four,2bbl
161,toyota,gas,std,two,sedan,rwd,front,dohc,four,mpfi
162,toyota,gas,std,two,hatchback,rwd,front,dohc,four,mpfi
163,toyota,gas,std,two,hardtop,rwd,front,ohc,four,mpfi
164,toyota,gas,std,two,hardtop,rwd,front,ohc,four,mpfi
165,toyota,gas,std,two,hatchback,rwd,front,ohc,four,mpfi
166,toyota,gas,std,two,hardtop,rwd,front,ohc,four,mpfi
167,toyota,gas,std,two,hatchback,rwd,front,ohc,four,mpfi
168,toyota,gas,std,two,convertible,rwd,front,ohc,four,mpfi
169,toyota,gas,std,four,sedan,fwd,front,ohc,four,mpfi
170,toyota,diesel,turbo,four,sedan,fwd,front,ohc,four,idi
171,toyota,gas,std,four,hatchback,fwd,front,ohc,four,mpfi
172,toyota,gas,std,four,sedan,fwd,front,ohc,four,mpfi
173,toyota,gas,std,four,hatchback,fwd,front,ohc,four,mpfi
174,toyota,gas,std,two,hatchback,rwd,front,dohc,six,mpfi
175,toyota,gas,std,two,hatchback,rwd,front,dohc,six,mpfi
176,toyota,gas,std,four,sedan,rwd,front,dohc,six,mpfi
177,toyota,gas,std,four,wagon,rwd,front,dohc,six,mpfi
178,volkswagen,diesel,std,two,sedan,fwd,front,ohc,four,idi
179,volkswagen,gas,std,two,sedan,fwd,front,ohc,four,mpfi
180,volkswagen,diesel,std,four,sedan,fwd,front,ohc,four,idi
181,volkswagen,gas,std,four,sedan,fwd,front,ohc,four,mpfi
182,volkswagen,gas,std,four,sedan,fwd,front,ohc,four,mpfi
183,volkswagen,diesel,turbo,four,sedan,fwd,front,ohc,four,idi
184,volkswagen,gas,std,four,sedan,fwd,front,ohc,four,mpfi
185,volkswagen,gas,std,two,convertible,fwd,front,ohc,four,mpfi
186,volkswagen,gas,std,two,hatchback,fwd,front,ohc,four,mpfi
187,volkswagen,gas,std,four,sedan,fwd,front,ohc,five,mpfi
188,volkswagen,diesel,turbo,four,sedan,fwd,front,ohc,four,idi
189,volkswagen,gas,std,four,wagon,fwd,front,ohc,four,mpfi
190,volvo,gas,std,four,sedan,rwd,front,ohc,four,mpfi
191,volvo,gas,std,four,wagon,rwd,front,ohc,four,mpfi
192,volvo,gas,std,four,sedan,rwd,front,ohc,four,mpfi
193,volvo,gas,std,four,wagon,rwd,front,ohc,four,mpfi
194,volvo,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi
195,volvo,gas,turbo,four,wagon,rwd,front,ohc,four,mpfi
196,volvo,gas,std,four,sedan,rwd,front,ohc,four,mpfi
197,volvo,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi
198,volvo,gas,std,four,sedan,rwd,front,ohcv,six,mpfi
199,volvo,diesel,turbo,four,sedan,rwd,front,ohc,six,idi
200,volvo,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi
201,volvo,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi
