,bore
0,3.47
1,3.47
2,2.68
3,3.19
4,3.19
5,3.19
6,3.19
7,3.19
8,3.13
9,3.5
10,3.5
11,3.31
12,3.31
13,3.31
14,3.62
15,3.62
16,3.62
17,2.91
18,3.03
19,3.03
20,2.97
21,2.97
22,3.03
23,2.97
24,2.97
25,2.97
26,3.03
27,3.34
28,3.6
29,2.91
30,2.91
31,2.91
32,2.91
33,2.91
34,2.91
35,2.92
36,3.15
37,3.15
38,3.15
39,3.15
40,3.15
41,3.15
42,3.31
43,3.43
44,3.63
45,3.63
46,3.54
47,3.03
48,3.03
49,3.03
50,3.03
51,3.08
52,3.3329797979797977
53,3.3329797979797977
54,3.3329797979797977
55,3.3329797979797977
56,3.39
57,3.39
58,3.39
59,3.39
60,3.39
61,3.39
62,3.76
63,3.43
64,3.58
65,3.58
66,3.58
67,3.58
68,3.46
69,3.46
70,3.8
71,3.8
72,3.78
73,2.97
74,2.97
75,2.97
76,3.03
77,3.17
78,3.35
79,3.58
80,3.59
81,3.59
82,3.35
83,3.35
84,3.17
85,3.17
86,3.15
87,2.99
88,3.15
89,3.15
90,3.15
91,3.15
92,3.15
93,3.15
94,3.15
95,3.15
96,3.33
97,3.33
98,3.43
99,3.43
100,3.43
101,3.43
102,3.43
103,3.43
104,3.46
105,3.7
106,3.46
107,3.7
108,3.46
109,3.7
110,3.46
111,3.7
112,3.46
113,3.7
114,3.61
115,2.97
116,3.03
117,2.97
118,2.97
119,2.97
120,3.35
121,3.59
122,3.94
123,3.74
124,3.74
125,3.74
126,3.46
127,3.46
128,3.54
129,3.54
130,2.54
131,3.54
132,3.54
133,3.54
134,3.62
135,3.62
136,3.62
137,3.62
138,3.62
139,3.62
140,3.62
141,3.62
142,3.62
143,3.62
144,3.62
145,3.62
146,3.05
147,3.05
148,3.05
149,3.05
150,3.05
151,3.05
152,3.19
153,3.19
154,3.27
155,3.27
156,3.19
157,3.19
158,3.19
159,3.19
160,3.19
161,3.24
162,3.24
163,3.62
164,3.62
165,3.62
166,3.62
167,3.62
168,3.62
169,3.31
170,3.27
171,3.31
172,3.31
173,3.31
174,3.27
175,3.27
176,3.27
177,3.27
178,3.01
179,3.19
180,3.01
181,3.19
182,3.19
183,3.01
184,3.19
185,3.19
186,3.19
187,3.19
188,3.01
189,3.19
190,3.78
191,3.78
192,3.78
193,3.78
194,3.62
195,3.62
196,3.78
197,3.78
198,3.58
199,3.01
200,3.78
201,3.78
